date,description,count,Macrobond_Code
2019-06-04,Canada: Airport Passengers Screened: Eight Largest Airports (Number),138503,CA8STA@TRANSPRT
2019-06-04,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),154256,CAFSTA@TRANSPRT
2019-06-05,Canada: Airport Passengers Screened: Eight Largest Airports (Number),145742,CA8STA@TRANSPRT
2019-06-05,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),161849,CAFSTA@TRANSPRT
2019-06-06,Canada: Airport Passengers Screened: Eight Largest Airports (Number),158011,CA8STA@TRANSPRT
2019-06-06,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),176893,CAFSTA@TRANSPRT
2019-06-07,Canada: Airport Passengers Screened: Eight Largest Airports (Number),160648,CA8STA@TRANSPRT
2019-06-07,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),179421,CAFSTA@TRANSPRT
2019-06-10,Canada: Airport Passengers Screened: Eight Largest Airports (Number),162571,CA8STA@TRANSPRT
2019-06-10,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),180028,CAFSTA@TRANSPRT
2019-06-11,Canada: Airport Passengers Screened: Eight Largest Airports (Number),150035,CA8STA@TRANSPRT
2019-06-11,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),167050,CAFSTA@TRANSPRT
2019-06-12,Canada: Airport Passengers Screened: Eight Largest Airports (Number),151529,CA8STA@TRANSPRT
2019-06-12,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),168532,CAFSTA@TRANSPRT
2019-06-13,Canada: Airport Passengers Screened: Eight Largest Airports (Number),160217,CA8STA@TRANSPRT
2019-06-13,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),178659,CAFSTA@TRANSPRT
2019-06-14,Canada: Airport Passengers Screened: Eight Largest Airports (Number),169803,CA8STA@TRANSPRT
2019-06-14,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),187963,CAFSTA@TRANSPRT
2019-06-17,Canada: Airport Passengers Screened: Eight Largest Airports (Number),170095,CA8STA@TRANSPRT
2019-06-17,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),187974,CAFSTA@TRANSPRT
2019-06-18,Canada: Airport Passengers Screened: Eight Largest Airports (Number),157684,CA8STA@TRANSPRT
2019-06-18,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),173986,CAFSTA@TRANSPRT
2019-06-19,Canada: Airport Passengers Screened: Eight Largest Airports (Number),167669,CA8STA@TRANSPRT
2019-06-19,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),185329,CAFSTA@TRANSPRT
2019-06-20,Canada: Airport Passengers Screened: Eight Largest Airports (Number),178961,CA8STA@TRANSPRT
2019-06-20,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),198741,CAFSTA@TRANSPRT
2019-06-21,Canada: Airport Passengers Screened: Eight Largest Airports (Number),186834,CA8STA@TRANSPRT
2019-06-21,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),206130,CAFSTA@TRANSPRT
2019-06-24,Canada: Airport Passengers Screened: Eight Largest Airports (Number),176925,CA8STA@TRANSPRT
2019-06-24,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),195653,CAFSTA@TRANSPRT
2019-06-25,Canada: Airport Passengers Screened: Eight Largest Airports (Number),173457,CA8STA@TRANSPRT
2019-06-25,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),191545,CAFSTA@TRANSPRT
2019-06-26,Canada: Airport Passengers Screened: Eight Largest Airports (Number),177009,CA8STA@TRANSPRT
2019-06-26,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),195907,CAFSTA@TRANSPRT
2019-06-27,Canada: Airport Passengers Screened: Eight Largest Airports (Number),183700,CA8STA@TRANSPRT
2019-06-27,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),204479,CAFSTA@TRANSPRT
2019-06-28,Canada: Airport Passengers Screened: Eight Largest Airports (Number),194753,CA8STA@TRANSPRT
2019-06-28,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),216336,CAFSTA@TRANSPRT
2019-07-01,Canada: Airport Passengers Screened: Eight Largest Airports (Number),169738,CA8STA@TRANSPRT
2019-07-01,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),187420,CAFSTA@TRANSPRT
2019-07-02,Canada: Airport Passengers Screened: Eight Largest Airports (Number),173701,CA8STA@TRANSPRT
2019-07-02,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),193382,CAFSTA@TRANSPRT
2019-07-03,Canada: Airport Passengers Screened: Eight Largest Airports (Number),169354,CA8STA@TRANSPRT
2019-07-03,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),187475,CAFSTA@TRANSPRT
2019-07-04,Canada: Airport Passengers Screened: Eight Largest Airports (Number),170295,CA8STA@TRANSPRT
2019-07-04,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),187887,CAFSTA@TRANSPRT
2019-07-05,Canada: Airport Passengers Screened: Eight Largest Airports (Number),171812,CA8STA@TRANSPRT
